x,ie,t,V,r,w,lbl
2.5206896551724136,1,4,-1.245269571928086,0.15,5.5,e₁
2.5206896551724136,1,5,-1.076101223268439,0.15,5.5,e₁
2.5206896551724136,1,6,-0.8996632341938209,0.15,5.5,e₁
2.5206896551724136,1,7,-0.7161787274320893,0.15,5.5,e₁
2.5206896551724136,1,8,-0.5262526540312666,0.15,5.5,e₁
2.5206896551724136,1,9,-0.33159038716657385,0.15,5.5,e₁
2.5206896551724136,1,10,-0.13854624614875174,0.15,5.5,e₁
2.5206896551724136,5,1,-1.4612509286451718,0.15,5.5,e₅
2.5206896551724136,5,2,-1.3319285061858588,0.15,5.5,e₅
2.5206896551724136,5,3,-1.198603431051719,0.15,5.5,e₅
2.5206896551724136,5,4,-1.0605249809123922,0.15,5.5,e₅
2.5206896551724136,5,5,-0.916516126501199,0.15,5.5,e₅
2.5206896551724136,5,6,-0.7667631186425541,0.15,5.5,e₅
2.5206896551724136,5,7,-0.6113787833365855,0.15,5.5,e₅
2.5206896551724136,5,8,-0.4508859116012527,0.15,5.5,e₅
2.5206896551724136,5,9,-0.2864536249929427,0.15,5.5,e₅
2.5206896551724136,5,10,-0.12244884910131192,0.15,5.5,e₅
2.5206896551724136,10,1,-1.1931521891434225,0.15,5.5,e₁₀
2.5206896551724136,10,2,-1.085591184798489,0.15,5.5,e₁₀
2.5206896551724136,10,3,-0.9751201939690203,0.15,5.5,e₁₀
2.5206896551724136,10,4,-0.8616832724863217,0.15,5.5,e₁₀
2.5206896551724136,10,5,-0.7447576602656469,0.15,5.5,e₁₀
2.5206896551724136,10,6,-0.6234759958087894,0.15,5.5,e₁₀
2.5206896551724136,10,7,-0.4980088750849451,0.15,5.5,e₁₀
2.5206896551724136,10,8,-0.36872141008369874,0.15,5.5,e₁₀
2.5206896551724136,10,9,-0.23640389926523406,0.15,5.5,e₁₀
2.5206896551724136,10,10,-0.10368913014567477,0.15,5.5,e₁₀
2.6551724137931036,1,1,-1.7020477985113476,0.15,5.5,e₁
2.6551724137931036,1,2,-1.553267650088993,0.15,5.5,e₁
2.6551724137931036,1,3,-1.3989388195569856,0.15,5.5,e₁
2.6551724137931036,1,4,-1.237399769281468,0.15,5.5,e₁
2.6551724137931036,1,5,-1.068698602121114,0.15,5.5,e₁
2.6551724137931036,1,6,-0.8927778150100381,0.15,5.5,e₁
2.6551724137931036,1,7,-0.709879218684538,0.15,5.5,e₁
2.6551724137931036,1,8,-0.5206995403397223,0.15,5.5,e₁
2.6551724137931036,1,9,-0.32701720230828113,0.15,5.5,e₁
2.6551724137931036,1,10,-0.13563990435225945,0.15,5.5,e₁
2.6551724137931036,5,1,-1.4552949945896658,0.15,5.5,e₅
